date,target,days_to_news,open,high,low,close,vol,signed_volume,zero_vol_mins_count,significant_mins_count,max_signed_volume,trade_value,trade_value_std,RSI_above_80_count,RSI_below_20_count,avg_price,max_box_cross_2p_count,price_cross_bb,30d_avg_trade_value,trade_val_ratio,body_vs_shadow,interaday_volatility,cloud_width_to_range,max_10_min_price_change_pos,max_10_min_price_change_neg,max_10_min_trade_Value,correlation,RSI
2017-11-18,0,0,133.52152671755726,134.43190076335878,131.80193129770993,132.51,143668889.29137424,660635.0000002626,108,0,4987307.000000001,18983120404,373063220.0250267,5,37,132.13104449843988,1,24,27577963173.966667,0.6883438158304557,0.3846153846153929,0.4851364006313967,0.039025259865806544,0.012039127163280714,-0.008,10255052225.000002,-0.427493327,62.99093655589121
2017-11-20,0,0,131.60230946882217,132.51270207852195,131.19769053117784,131.4,134226441.0958904,-5053644,76,0,692100.0000000371,17656904395,175212391.31279406,0,24,131.54564965621068,0,18,27174166354.633335,0.6497680246956097,0.15384615384614886,0.22564502550609897,0.37481651658517984,0.006872852,-0.005372218,3093551800,-0.037581687,57.152020525978195
2017-11-21,0,0,131.49436893203884,132.00011650485436,130.23,130.23,139634619.71128005,-3660626,59,0,280009.99999999366,18274554355,170985509.39812082,0,24,130.87409406625636,0,20,27330322229.633335,0.668654917,0.7142857142857212,0.46631315485296704,0.5862255510028187,0.001917913,-0.003869969,3803449660.9999995,-0.479538944,46.75705386588493
2017-11-22,0,0,130.03326923076924,133.0173076923077,129.62865384615384,131.5,108941917.87072244,19683899.000000037,83,0,10793920.000000028,14293349315,159312662.20868444,1,26,131.2015576223049,0,22,27460587832.166668,0.520504128,0.43283582089551953,0.8217784401565531,0.3062241145035274,0.011406844106463908,-0.009338521,2202672315,-0.191466335,45.23181304183944
2017-11-25,0,0,132.00461183704843,135.6966948501153,131.04365872405842,131.6,66638267.91793313,6283604.000000165,77,0,7098881.000000059,8824151026,94095386.94684276,7,29,132.41867325944284,0,22,27162026656,0.32487086246262437,0.086956522,0.9143772400559851,0.3313961682855656,0.030935519940365298,-0.011367942,1683618391.9999998,0.3235633534750973,50.207468879668035
2017-11-26,0,0,131.75078214421976,135.34168637924455,131.64962991224724,132.56,107719481.6913096,5691684.000000112,88,0,9840450.000000011,14327568552,194964075.2361299,19,29,133.00814603859996,0,25,27193013332,0.5268841807644399,0.2191780821917845,0.7579458309681891,0.36939453377231135,0.018726591760299578,-0.018695155,4096199242,0.2445007308599016,33.444259567387746
2017-11-28,0,0,134.02864885791712,134.02864885791712,130.5388463027487,130.64,87828939.93417026,-6134577,88,0,479495.0000000362,11531715444,117487966.85690573,6,23,131.2974453823908,1,14,26863354720.666668,0.4292730957808615,0.9710144927536177,0.9769924360096539,0.2095929482909322,0.010215664018161185,-0.011538462,2046365308,-0.939252759,35.55424528
2017-11-29,0,0,130.9392032646716,132.20358336572093,129.97827438787408,130.13,107132854.97579344,12858223.99999987,95,0,19806799.999999713,14015278084,230867347.2129152,7,46,130.82147476763072,0,22,26527055271,0.5283390086392978,0.3636363636363694,0.5572957098183137,0.068149609,0.011538461538461374,-0.005813953,3370498457,0.11141815864316466,40.36144578313258
2017-12-02,0,0,131.2971164936563,131.75230680507497,129.93154555940023,131.55,152176828.59749144,14437782.000000555,92,0,8521300,19915715399,243645583.00169772,10,47,130.87219376661594,1,22,26926428095.133335,0.7396345080987387,0.13888888888889367,0.4618315827707764,0.24919789391966285,0.011918492887351109,-0.007782101,6536219830,0.19531675967620424,41.149273447820455
2017-12-03,0,0,132.00690566037736,135.4967433962264,131.5011320754717,134.03,115680299.93285085,57340739.99999988,71,0,24467390.999999803,15460936585,190087271.00750887,34,25,133.65228646515124,0,27,27070645808.466667,0.5711329051545718,0.5063291139240531,0.847936573,0.16733014987761638,0.017977528,-0.016774685,3075597771,-0.291199506,50
2017-12-04,0,0,133.57233172182967,136.50576422461882,132.6619561175158,136,162679616.3014706,18779496.99999952,62,0,6443054.999999973,21988848209,281022096.7419061,17,8,135.16658515011034,0,28,27412794887.633335,0.8021381365575304,0.6315789473684246,1.1778775338511094,0.28318487169616263,0.014163250093179341,-0.008003049,6408989206,0.081641024,58.13826891671203
